auth_last,auth_first,publ_date,auth_gender,author_id
Adams,Henry,1880,M,1
Aldrich,Thomas Bailey,1880,M,2
Burnett,Frances Hodgson,1880,F,3
Cable,George Washington,1880,M,4
Douglas,Amanda M.,1880,F,5
Ewell,M. L. B.,1880,F,6
James,Henry,1880,M,7
James,Henry,1880,M,8
James,Henry,1880,M,9
Pinkerton,Allan,1880,M,10
Roe,Edward Payson,1880,M,11
Warner,Susan,1880,F,12
Woolson,Constance Fenimore,1880,F,13
Cable,George Washington,1881,M,14
Green,Anna Katharine,1881,F,15
Howells,William Dean,1881,M,16
Howells,William Dean,1881,M,17
James,Henry,1881,M,18
Miller,Joaquin,1881,M,19
Roe,Edward Payson,1881,M,20
Twain,Mark,1881,M,21
Fleming,May Agnes,1882,F,22
Holland,J. G.,1882,M,23
James,Henry,1882,M,24
Stoddard,William Osborn,1882,M,25
Woolson,Constance Fenimore,1882,F,26
Cable,George Washington,1883,M,27
Crawford,F. Marion,1883,M,28
De Mille,James,1883,M,29
Green,Anna Katharine,1883,F,30
Green,Anna Katharine,1883,F,31
Harris,Joel Chandler,1883,M,32
Holmes,Oliver Wendell,1883,F,33
Holmes,Oliver Wendell,1883,F,34
Litchfield,Grace Denio,1883,F,35
McElroy,John,1883,M,36
Peck,George W.,1883,M,37
Pinkerton,Allan,1883,M,38
Riker,James,1883,M,39
Roe,Edward Payson,1883,M,40
Adams,Henry,1884,M,41
Bellamy,Edward,1884,M,42
Crawford,F. Marion,1884,M,43
Douglas,Amanda M.,1884,F,44
Harris,Joel Chandler,1884,M,45
Harte,Bret,1884,M,46
Harte,Bret,1884,M,47
Hawthorne,Julian,1884,M,48
Holmes,Oliver Wendell,1884,F,49
Jackson,Helen Hunt,1884,F,50
Jewett,Sarah Orne,1884,F,51
Townsend,George Alfred,1884,M,52
Warner,Susan,1884,F,53
Murfree,Mary Noailles,1885,F,54
Crawford,F. Marion,1885,M,55
Harte,Bret,1885,M,56
Harte,Bret,1885,M,57
Holmes,Oliver Wendell,1885,F,58
Loyal,C,1885,F,59
Roe,Edward Payson,1885,M,60
Roe,Edward Payson,1885,M,61
Roe,Edward Payson,1885,M,62
Aldrich,Thomas Bailey,1886,M,63
Burnett,Frances Hodgson,1886,F,64
Crawford,F. Marion,1886,M,65
Grant,Robert,1886,M,66
James,Henry,1886,M,67
McClelland,M. G.,1886,F,68
Pinkerton,Frank,1886,M,69
Roe,Edward Payson,1886,M,70
Roe,Edward Payson,1886,M,71
Stoddard,William Osborn,1886,M,72
Wiggin,Kate Douglas Smith,1886,F,73
Woolson,Constance Fenimore,1886,F,74
Bunner,H. C.,1887,M,75
Crawford,F. Marion,1887,M,76
Crawford,F. Marion,1887,M,77
Eggleston,Edward,1887,M,78
Evans,Augusta J.,1887,F,79
Evans,Augusta J.,1887,F,80
Harte,Bret,1887,M,81
Harte,Bret,1887,M,82
Holley,Marietta,1887,F,83
Maher,William H,1887,M,84
Phelps,Elizabeth Stuart,1887,F,85
Pinkerton,Frank,1887,M,86
Roe,Edward Payson,1887,M,87
Atherton,Gertrude Franklin Horn,1888,F,88
Cable,George Washington,1888,M,89
Deland,Margaret,1888,F,90
Fleming,May Agnes,1888,F,91
Harte,Bret,1888,M,92
Howells,William Dean,1888,M,93
James,Henry,1888,M,94
Pyle,Howard,1888,M,95
Roe,Edward Payson,1888,M,96
Saltus,Edgar,1888,M,97
Austin,Jane G.,1889,F,98
Bates,Arlo,1889,M,99
Burnett,Frances Hodgson,1889,F,100
Burnett,Frances Hodgson,1889,F,101
Crawford,F. Marion,1889,M,102
Harte,Bret,1889,M,103
Hearn,Lafcadio,1889,M,104
Jerome,Jerome K.,1889,M,105
King,Charles,1889,M,106
Leland,Charles Godfrey,1889,M,107
Lyall,Edna,1889,F,108
Mitchell,John Ames,1889,M,109
Saltus,Edgar,1889,M,110
Saltus,Edgar,1889,M,111
Van-Anderson,Helen,1889,F,112
Balch,Frederic Homer,1890,M,113
Bandelier,Adolph Francis Alphonse,1890,M,114
Chopin,Kate,1890,F,115
Crawford,F. Marion,1890,M,116
Frederic,Harold,1890,M,117
Green,Anna Katharine,1890,F,118
Habberton,John,1890,M,119
Harte,Bret,1890,M,120
Harte,Bret,1890,M,121
Holley,Marietta,1890,F,122
Holmes,Oliver Wendell,1890,F,123
James,Henry,1890,M,124
Janvier,Thomas A.,1890,M,125
Jewett,Sarah Orne,1890,F,126
King,Charles,1890,M,127
Lane,Mary E. Bradley,1890,F,128
Chatfield-Taylor,H. C.,1891,M,129
Crawford,F. Marion,1891,M,130
Eggleston,Edward,1891,M,131
Harte,Bret,1891,M,132
Howells,William Dean,1891,M,133
Pyle,Howard,1891,M,134
Saltus,Edgar,1891,M,135
Sanborn,Kate,1891,F,136
Smith,Francis Hopkinson,1891,M,137
Bacheller,Irving,1892,M,138
Bradshaw,William Richard,1892,M,139
Davis,Richard Harding,1892,M,140
Freeley,Mary Belle,1892,F,141
Garland,Hamlin,1892,M,142
Garland,Hamlin,1892,M,143
Glenwood,Ida,1892,F,144
Gunnison,Charles A.,1892,M,145
James,Henry,1892,M,146
James,Henry,1892,M,147
Savage,Richard,1892,M,148
Twain,Mark,1892,M,149
Bangs,John Kendrick,1893,M,150
Bangs,John Kendrick,1893,M,151
Bell,Lilian,1893,F,152
