filename,title,author_id
00000001.txt,Democracy,1
00000003.txt,The Stillwater tragedy,2
00000013.txt,Louisiana,3
00000015.txt,The Grandissimes,4
00000021.txt,Hope Mills: or: Between friend and sweetheart,5
00000022.txt,The harvest of years,6
00000037.txt,Confidence,7
00000038.txt,A bundle of letters,8
00000039.txt,The diary of a man of fifty,9
00000048.txt,Bucholz and the detectives,10
00000050.txt,A day of fate,11
00000052.txt,The end of a coil,12
00000053.txt,Rodman the keeper,13
00000062.txt,Madame Delphine,14
00000075.txt,The sword of Damocles,15
00000080.txt,A modern instance,16
00000083.txt,A chance acquaintance,17
00000086.txt,The portrait of a lady,18
00000088.txt,Shadows of Shasta,19
00000101.txt,Without a home,20
00000107.txt,The prince and the pauper,21
00000117.txt,Sharing her crime,22
00000126.txt,Sevenoaks,23
00000130.txt,Roderick Hudson,24
00000147.txt,The talking leaves,25
00000154.txt,Anne,26
00000164.txt,Old Creole days,27
00000167.txt,Doctor Claudius,28
00000169.txt,A castle in Spain,29
00000179.txt,Hand and ring,30
00000180.txt,X Y Z,31
00000183.txt,Nights with Uncle Remus,32
00000186.txt,Elsie Venner,33
00000187.txt,The guardian angel,34
00000194.txt,Only an incident,35
00000195.txt,The red acorn,36
00000198.txt,Peck's bad boy and his pa,37
00000201.txt,The burglar's fate and the detectives,38
00000204.txt,Evacuation day: 1783,39
00000205.txt,His sombre rivals,40
00000215.txt,Esther,41
00000221.txt,Miss Ludington's sister,42
00000227.txt,A Roman singer,43
00000230.txt,Floyd Grandon's honor,44
00000241.txt,Mingo,45
00000243.txt,In the Carquinez woods,46
00000244.txt,On the frontier,47
00000245.txt,Archibald Malmaison,48
00000249.txt,The professor at the breakfast-table,49
00000252.txt,Ramona,50
00000253.txt,A country doctor,51
00000277.txt,The entailed hat: or: Patty Cannon's times,52
00000278.txt,A red wallflower,53
00000291.txt,The prophet of the Great Smoky Mountains,54
00000294.txt,The children of the king,55
00000309.txt,By shore and sedge,56
00000310.txt,Maruja,57
00000312.txt,The poet at the breakfast-table,58
00000324.txt,The squatter and the don,59
00000331.txt,Barriers burned away,60
00000332.txt,Opening a chestnut burr,61
00000333.txt,An original belle,62
00000339.txt,The queen of Sheba,63
00000348.txt,Little Lord Fauntleroy,64
00000353.txt,A tale of a lonely parish,65
00000368.txt,A romantic young lady,66
00000381.txt,The Bostonians,67
00000390.txt,Princess,68
00000401.txt,Dyke Darrel: the railroad detective: or: The crime of the midnight express,69
00000402.txt,He fell in love with his wife,70
00000403.txt,From jest to earnest,71
00000405.txt,Two Arrows,72
00000410.txt,The Birds' Christmas Carol,73
00000411.txt,East Angels,74
00000419.txt,The story of a New York house,75
00000422.txt,Saracinesca,76
00000423.txt,Paul Patoff,77
00000433.txt,The Graysons,78
00000434.txt,At the mercy of Tiberius,79
00000435.txt,Inez,80
00000449.txt,The crusade of the Excelsior,81
00000450.txt,Sally Dows,82
00000457.txt,Samantha at Saratoga,83
00000467.txt,A man of samples,84
00000473.txt,The gates between,85
00000475.txt,Jim Cummings: or: The great Adams Express robbery,86
00000479.txt,The earth trembled,87
00000487.txt,What dreams may come,88
00000494.txt,Bonaventure,89
00000506.txt,John Ward: preacher,90
00000511.txt,The midnight queen,91
00000515.txt,The Argonauts of North Liberty,92
00000521.txt,Annie Kilburn,93
00000524.txt,The Aspern papers,94
00000551.txt,The Rose of Paradise,95
00000556.txt,Miss Lou,96
00000557.txt,Eden,97
00000570.txt,Standish of Standish,98
00000572.txt,The Philistines,99
00000580.txt,Sara Crewe: or: What happened at Miss Minchin's,100
00000581.txt,Vagabondia,101
00000593.txt,Greifenstein,102
00000606.txt,Cressy,103
00000608.txt,Chita,104
00000614.txt,Three men in a boat,105
00000620.txt,Laramie,106
00000621.txt,The Breitmann ballads,107
00000623.txt,Derrick Vaughan: novelist,108
00000627.txt,The last American,109
00000643.txt,A transient guest,110
00000644.txt,The pace that kills,111
00000648.txt,The right knock,112
00000658.txt,The bridge of the gods,113
00000659.txt,The delight makers,114
00000671.txt,At fault,115
00000679.txt,The witch of Prague,116
00000684.txt,In the valley,117
00000694.txt,The forsaken inn,118
00000697.txt,All he knew,119
00000698.txt,A ward of the Golden Gate,120
00000699.txt,A waif of the plains,121
00000706.txt,Samantha among the brethren,122
00000708.txt,Over the teacups,123
00000711.txt,The tragic muse,124
00000713.txt,The Aztec treasure-house,125
00000714.txt,Strangers and wayfarers,126
00000718.txt,Sunset Pass: or: Running the gauntlet through Apache land,127
00000721.txt,Mizora,128
00000762.txt,With edge tools,129
00000766.txt,Khaled: a tale of Arabia,130
00000772.txt,The faith doctor,131
00000790.txt,A first family of Tasajara,132
00000792.txt,The quality of mercy,133
00000822.txt,Men of iron,134
00000828.txt,Mary Magdalen,135
00000829.txt,Adopting an abandoned farm,136
00000832.txt,Colonel Carter of Cartersville,137
00000842.txt,The master of silence,138
00000846.txt,The goddess of Atvatabar,139
00000861.txt,Van Bibber and others,140
00000871.txt,Fair to look upon,141
00000877.txt,A spoil of office,142
00000879.txt,A little Norsk: or: Ol' pap's Flaxen,143
00000883.txt,Lily Pearl and the mistress of Rosedale,144
00000891.txt,In Macao,145
00000901.txt,Daisy Miller,146
00000902.txt,The lesson of the master,147
00000927.txt,The little lady of Lagunitas,148
00000930.txt,The American claimant,149
00000936.txt,Coffee and repartee,150
00000937.txt,Toppleton's client : or: A spirit in exile,151
00000940.txt,The love affairs of an old maid,152
00000949.txt,Old Kaskaskia,153
00000957.txt,Donald and Dorothy,154
00000959.txt,Duffels,155
00000975.txt,The wedge of gold,156
00000976.txt,The opinions of a philosopher,157
00000980.txt,Susy: a story of the plains,158
00000983.txt,Samantha at the World's Fair,159
00000986.txt,The coast of Bohemia,160
00000993.txt,Foes in ambush,161
